English,Polish
reluctant,niechętny
remainder,reszta
remains,pozostaje
remarkable,niezwykły
remarkably,wybitnie
remedy,zaradzić
reminder,przypomnienie
removal,usuwanie
render,oddać
renew,odnowić
renowned,słynny
rental,dzierżawa
replacement,wymiana
reportedly,podobno
reporting,raportowanie
representation,reprezentacja
reproduce,reprodukować
reproduction,reprodukcja
republic,republika
resemble,być podobnym
reside,zamieszkać
residence,rezydencja
residential,mieszkaniowy
residue,pozostałość
resign,rezygnować
resignation,rezygnacja
resistance,opór
resolution,rezolucja
respective,poszczególny
respectively,odpowiednio
restoration,przywrócenie
restore,przywrócić
restraint,powściągliwość
restrict,ograniczać
restriction,ograniczenie
resume,wznawiać
retail,sprzedaż detaliczna
retirement,emerytura
retreat,rekolekcje
retrieve,odzyskać
revelation,objawienie
revenge,zemsta
revenue,przychód
reverse,odwracać
revision,rewizja
revival,odrodzenie
revive,wskrzesić
revolutionary,rewolucyjny
rhetoric,retoryka
ridiculous,śmieszny
rifle,karabin
riot,zamieszki
rip,rozerwać
risky,ryzykowny
ritual,rytuał
rival,rywalizować
rob,obrabować
robbery,rozbój
robust,solidny
rock,głaz
rocket,rakieta
rod,pręt
romance,romans
rose,róża
rotate,obracać
rotation,obrót
roughly,mniej więcej
ruin,ruina
ruling,rządzący
rumour,plotka
sack,worek
sacred,poświęcony
sacrifice,poświęcenie
saint,święty
sake,powód
sanction,sankcja
satisfaction,zadowolenie
say,mowić
scandal,skandal
scare,przestraszyć
scattered,rozsiany
scenario,scenariusz
sceptical,sceptyczny
scholar,uczony
scholarship,stypendium
scope,zakres
scratch,zadrapanie
screening,ekranizacja
screw,śruba
scrutiny,obserwacja
seal,foka
secular,świecki
seeker,Poszukiwacz
seemingly,pozornie
segment,segment
seize,chwycić
seldom,rzadko
selective,selektywny
seminar,seminarium
senator,senator
sensation,uczucie
sensitivity,wrażliwość
sentiment,sentyment
separation,rozdzielenie
serial,seryjny
set-up,organizować coś
settlement,osada
settler,osadnik
severely,surowo
sexuality,seksualność
sexy,seksowny
shaped,kształt
shareholder,akcjonariusz
shatter,roztrzaskać
shed,szopa
sheer,zwykły
shipping,wysyłka
shocking,wstrząsający
shoot,strzelać
shore,brzeg
short-term,krótkoterminowe
shortage,brak
shortly,wkrótce
shrink,kurczyć się
shrug,wzruszać ramionami
sibling,rodzeństwo
sigh,westchnienie
signature,podpis
significance,znaczenie
simulate,symulować
simulation,symulacja
simultaneously,jednocześnie
sin,grzech
situated,położony
sketch,naszkicować
skilled,wykwalifikowany
skip,pominąć
skull,czaszka
slam,zatrzasnąć
slap,policzkować
slash,ciąć
slavery,niewolnictwo
slogan,slogan
slot,szczelina
smash,rozbić
snap,pstryknąć
so-called,tak zwane
soak,moczyć
soar,szybować
socialist,socjalista
sole,podeszwa
solely,wyłącznie
solicitor,adwokat
solidarity,solidarność
solo,solo
somehow,jakoś
sometime,kiedyś
sophisticated,wyrafinowany
sound,dźwięk
sovereignty,suwerenność
spam,Spam
span,przęsło
spare,zapasowy
spark,iskra
specialize,specjalizować
specialized,wyspecjalizowane
specification,specyfikacja
specify,sprecyzować
specimen,próbka
spectacle,spektakl
spectacular,spektakularny
spectator,widz
spectrum,widmo
speculate,spekulować
speculation,spekulacja
spell,zaklęcie
sphere,kula
spill,wylać
spin,kręcić się
spine,kręgosłup
spite,uraza
spoil,zepsuć
spokesman,rzecznik
spokesperson,rzecznik
spokeswoman,Rzeczniczka
sponsorship,Sponsoring
sporting,sportowy
spotlight,reflektor
spouse,współmałżonek
spy,szpieg
squad,drużyna
squeeze,ściśnięcie
stab,zasztyletować
stability,stabilność
stabilize,ustabilizować
stake,stawka
stall,stoisko
stance,pozycja sportowa
standing,na stojąco
stark,sztywny
starve,głodować
statistical,statystyczny
steadily,stale
steam,para
steer,sterować
stem,trzon
stereotype,stereotyp
stimulate,stymulować
stimulus,bodziec
stir,zamieszać
storage,składowanie
straightforward,prosty
strain,napięcie
strand,pasmo
strategic,strategiczny
strengthen,wzmacniać
strictly,rygorystycznie
striking,uderzający
strip,pas
strive,starać się
stroke,udar
structural,strukturalny
stumble,potknąć się
stun,oszołomić
stunning,zachwycający
submission,przedłożona praca
subscriber,abonent
subscription,prenumerata
subsequent,późniejszy
subsequently,następnie
subsidy,subsydium
substantial,istotny
substantially,istotnie
substitute,zastąpić
substitution,podstawienie
subtle,subtelny
suburb,przedmieście
suburban,podmiejski
succession,dziedziczenie
successive,kolejny
successor,następca
suck,ssać
sue,pozwać
suffering,cierpienie
sufficient,wystarczający
sufficiently,wystarczająco
suicide,samobójstwo
suite,apartament
summit,szczyt
super,Super
superb,wspaniały
superior,znakomity
supervise,dozorować
supervision,nadzór
supervisor,kierownik
supplement,uzupełnienie
supportive,wspierający
supposedly,rzekomo
suppress,stłumić
supreme,najwyższy
surge,wzrost
surgeon,chirurg
surgical,chirurgiczny
surplus,nadwyżka
surrender,poddać się
surveillance,nadzór
survival,przetrwanie
survivor,niedobitek
suspend,wstrzymać
suspension,zawieszenie
suspicion,podejrzenie
suspicious,podejrzany
sustain,podtrzymywać
sustainable,zrównoważony
swallow,połykać
swing,huśtać się
sword,miecz
symbolic,symboliczny
sympathetic,sympatyczny
syndrome,zespół
synthesis,synteza
systematic,systematyczny
tackle,przybory
tactic,taktyka
tactical,taktyczny
tag,etykietka
tap,uzyskiwać
taxpayer,podatnik
technological,techniczny
teens,wiek dojrzewania
temple,świątynia
temporarily,tymczasowo
tempt,kusić
tenant,najemca
tendency,tendencja
tender,miękki
tension,napięcie
tenure,tenuta
terminal,terminal
terminate,zakończyć
terms,warunki
terrain,teren
terribly,niemożliwie
terrific,wspaniały
terrify,przerazić
territory,terytorium
terror,terror
terrorism,terroryzm
terrorist,terrorysta
testify,świadczyć
testimony,świadectwo
testing,Testowanie
textbook,podręcznik
texture,tekstura
thankfully,Na szczęście
theatrical,teatralny
theft,kradzież
theology,teologia
theoretical,teoretyczny
therapist,terapeuta
thereafter,od tego czasu
thereby,skutkiem tego
thesis,praca
thorough,dokładny
thoroughly,dokładnie
thought-provoking,Prowokowanie do myślenia
thoughtful,przemyślany
thread,nitka
threshold,próg
thrilled,zachwycony
thrive,prosperować
thumb,kciuk
tide,fala
tighten,dokręcać
timber,drewno
timely,aktualny
timing,chronometraż
tissue,tkanka
tobacco,tytoń
tolerance,tolerancja
tolerate,tolerować
toll,myto
ton,tona
tonne,ton
top,szczyt
torture,torturować
toss,podrzucenie
total,całkowity
tournament,turniej
toxic,toksyczny
trace,namierzać
trademark,znak firmowy
trading,handlowy
tragedy,tragedia
tragic,tragiczny
trail,ścieżka
trailer,przyczepa
trait,cecha
transaction,transakcja
transcript,transkrypcja
transformation,transformacja
transit,tranzyt
transmission,przenoszenie
transmit,przekazać
transparency,przezroczystość
transparent,przezroczysty
transportation,transport
trap,pułapka
trauma,uraz
treasure,skarb
treaty,traktat
tremendous,ogromny
tribal,plemienny
tribe,plemię
tribunal,trybunał
tribute,hołd
trigger,spust
trillion,bilion
trio,trio
triumph,triumf
troop,stado
trophy,trofeum
troubled,zmartwiony
trustee,powiernik
tsunami,Tsunami
tuition,czesne
turnout,okazać się
turnover,obrót
twist,twist
ultimate,ostateczny
unacceptable,gorszący
uncertainty,niepewność
undergo,przejść
undergraduate,student
underlying,zasadniczy
undermine,osłabiać
undertake,podjąć
undoubtedly,niewątpliwie
unfold,rozwijać się
unfortunate,niefortunny
unify,ujednolicić
unite,zjednoczyć
unity,jedność
universal,uniwersalny
unprecedented,bez precedensu
unveil,demaskować
upcoming,nadchodzące
upgrade,aktualizacja
uphold,podtrzymywać
urgent,pilny
usage,stosowanie
useless,bezużyteczny
utility,pożytek
utilize,wykorzystać
utterly,całkowicie
vacuum,próżnia
vague,niejasny
valid,ważny
validity,ważność
vanish,znikać
variable,zmienny
variation,zmiana
varied,urozmaicony
vein,żyła
venture,przedsięwzięcie
verbal,słowny
verdict,werdykt
verify,zweryfikować
verse,werset
versus,przeciw
vertical,pionowy
vessel,naczynie
veteran,weteran
viable,wykonalny
vibrant,wibrujący
vice,wice
vicious,podstępny
viewpoint,punkt widzenia
villager,wieśniak
violate,naruszać
violation,naruszenie
virtue,cnota
visa,wiza
visible,widoczny
vocal,wokal
voluntary,dobrowolny
voting,głosowanie
vow,ślub
vulnerability,wrażliwość
vulnerable,wrażliwy
wander,wędrować
ward,oddział
warehouse,magazyn
warfare,działania wojenne
warming,ogrzewanie
warrant,nakaz
warrior,wojownik
weaken,osłabiać
weave,splot
weed,chwast
weekly,tygodnik
weird,dziwny
welfare,zasiłek
well,Dobrze
well-being,dobre samopoczucie
whatsoever,cokolwiek
wheat,pszenica
whereby,za pomocą którego
whilst,podczas gdy
whip,bicz
whoever,ktokolwiek
wholly,całkowicie
widen,poszerzać
widespread,rozpowszechniony
widow,wdowa
width,szerokość
willingness,gotowość
wipe,wytrzeć
wisdom,mądrość
wit,dowcip
withdraw,wycofać
withdrawal,wycofanie
workforce,siła robocza
workout,ćwiczyć
workplace,miejsce pracy
workshop,warsztat
worm,robak
worship,cześć
worthwhile,wart
worthy,godny
wrist,nadgarstek
yell,krzyk
yield,dawać
youngster,młodzik
a,A
abandon,opuścić
ability,umiejętność
able,zdolny
about,o
above,powyżej
abroad,za granicą
absolute,absolutny
absolutely,absolutnie
academic,akademicki
accept,przyjąć
acceptable,do przyjęcia
access,dostęp
accident,wypadek
accommodation,zakwaterowanie
accompany,towarzyszyć
according to,według
account,konto
accurate,dokładny
accuse,oskarżać
achieve,osiągnąć
achievement,osiągnięcie
acknowledge,uznawać
acquire,nabywać
across,przez
act,działać
action,działanie
active,aktywny
activity,działalność
actor,aktor
actress,aktorka
actual,rzeczywisty
actually,Właściwie
ad,ogłoszenie
adapt,dostosować
add,dodać
addition,dodatek
additional,dodatkowy
address,adres
administration,administracja
admire,podziwiać
admit,przyznawać 
adopt,przyjąć
adult,dorosły
advance,osiągnięcie
advanced,zaawansowany
advantage,korzyść
adventure,przygoda
advertise,reklamować
advertisement,reklama
advertising,reklama
advice,rada
advise,radzić
affair,romans
affect,oddziaływać
afford,pozwalać
afraid,przestraszony
after,Po
afternoon,popołudnie
afterwards,następnie
again,Ponownie
against,przeciwko
age,wiek
aged,w wieku
agency,agencja
agenda,porządek obrad
agent,agent
aggressive,agresywny
ago,temu
agree,zgadzać się
agreement,porozumienie
ah,Ah
ahead,dalej
aid,pomoc
aim,cel
air,powietrze
aircraft,samolot
airline,linia lotnicza
airport,lotnisko
alarm,alarm
album,album
alcohol,alkohol
alcoholic,alkoholowy
alive,żywy
all,Wszystko
all right,W porządku
allow,umożliwić
almost,prawie
alone,sam
along,przed siebie
already,już
also,Również
alter,zmieniać
alternative,alternatywny
although,Chociaż
always,zawsze
amazed,zdziwiony
amazing,niesamowity
ambition,ambicja
ambitious,ambitny
among,wśród
amount,kwota
analyse,analizować
analysis,analiza
ancient,starożytny
and,I
anger,gniew
angle,kąt
angrily,gniewnie
angry,zły
animal,zwierzę
ankle,kostka
anniversary,rocznica
announce,ogłaszać
announcement,ogłoszenie
annoy,drażnić
annoyed,zirytowany
annoying,irytujący
annual,coroczny
another,inny
answer,odpowiedź
anxious,niespokojny
any,każdy
any more,nie więcej
anybody,ktoś
anyone,ktokolwiek
anything,wszystko
anyway,W każdym razie
anywhere,gdziekolwiek
apart,oprócz
apartment,apartament
apologize,przepraszać
app,App
apparent,pozorny
apparently,najwyraźniej
appeal,odwołanie
appear,pojawić się
appearance,wygląd
apple,jabłko
application,aplikacja
apply,stosować
appointment,spotkanie
appreciate,doceniać
approach,zbliżać się
appropriate,odpowiedni
approval,aprobata
approve,zatwierdzić
approximately,około
april,kwiecień
architect,architekt
architecture,architektura
area,obszar
argue,kłócić się 
argument,argument
arise,powstać
armed,uzbrojony
arms,herb
army,armia
around,wokół
arrange,zorganizować
arrangement,układ
arrest,aresztować
arrival,przyjazd
arrive,przyjechać
art,sztuka
article,artykuł
artificial,sztuczny
artist,artysta
artistic,artystyczny
as,Jak
ashamed,zawstydzony
ask,zapytać
asleep,we śnie
aspect,aspekt
assess,oceniać
assessment,ocena
assignment,zadanie
assist,wspierać
assistant,asystent
associate,współpracownik
associated,powiązany
association,stowarzyszenie
assume,przypuszczać
at,Na
athlete,sportowiec
atmosphere,atmosfera
attach,przytwierdzać
attack,atak
attempt,próba
attend,brać udział
attention,uwaga
attitude,postawa
attract,pociągać
attraction,atrakcja
attractive,atrakcyjny
audience,publiczność
august,sierpień
aunt,ciotka
author,autor
authority,władza
autumn,jesień
available,dostępny
average,przeciętny
avoid,unikać
award,nagroda
aware,świadomy
away,z dala
awful,okropny
baby,Dziecko
back,z powrotem
background,tło
backwards,wstecz
bacteria,bakteria
bad,zły
badly,źle
bag,torba
bake,upiec
balance,balansować
ball,piłka
ban,zakaz
banana,banan
band,zespół
bank,bank
bar,bar
barrier,bariera
base,opierać
baseball,baseball
based,na podstawie
basic,podstawowy
basically,zasadniczo
basis,podstawa
basketball,koszykówka
bath,wanna
bathroom,łazienka
battery,bateria
battle,bitwa
be,Być
beach,plaża
bean,fasola
bear,niedźwiedź
beat,pokonać
beautiful,Piękny
beauty,uroda
because,ponieważ
become,stać się
bed,łóżko
bedroom,sypialnia
bee,pszczoła
beef,wołowina
beer,piwo
before,zanim
beg,błagać
begin,zaczynać
beginning,początek
behave,zachowywać się
behaviour,zachowanie
behind,za
being,istnienie
belief,wiara
believe,uważać
bell,dzwonek
belong,przynależeć
below,poniżej
belt,pasek
bend,schylać się
benefit,korzyść
bent,zgięty
best,"to, co najlepsze"
bet,zakład
better,lepsza
between,między
beyond,poza
bicycle,rower
big,duży
bike,rower
bill,rachunek
billion,miliard
bin,kosz
biology,biologia
bird,ptak
birth,narodziny
birthday,urodziny
biscuit,suchar
bit,fragment
bite,ugryzienie
bitter,gorzki
black,czarny
blame,winić
blank,pusty
blind,ślepy
block,blok
blog,blog
blonde,blondynka
blood,krew
blue,niebieski
board,tablica
boat,łódź
body,ciało
boil,gotować
bomb,bomba
bond,obligacja
bone,kość
book,książka
boot,uruchomić
border,granica
bored,znudzony
boring,nudny
born,urodzić się
borrow,pożyczyć
boss,szef
both,Zarówno
bother,silić się
bottle,butelka
bottom,spód
bowl,miska
box,skrzynka
boy,chłopiec
boyfriend,sympatia
brain,mózg
branch,oddział
brand,marka
brave,odważny
bread,chleb
break,przerwa
breakfast,śniadanie
breast,pierś
breath,oddech
breathe,oddychać
breathing,oddechowy
bride,panna młoda
bridge,most
brief,krótki
bright,jasny
brilliant,genialny
bring,przynieść
broad,szeroki
broadcast,audycja
broken,złamany
brother,brat
brown,brązowy
brush,szczotka
bubble,bańka
budget,budżet
build,zbudować
building,budynek
bullet,kula
bunch,garść
burn,oparzenie
bury,pogrzebać
bus,autobus
bush,krzak
business,biznes
businessman,biznesmen
busy,zajęty
but,Ale
butter,masło
button,przycisk
buy,kupić
by,przez
bye,do widzenia
cable,kabel
cafe,kawiarnia
cake,ciasto
calculate,obliczać
call,dzwonić
calm,spokój
camera,kamera
camp,obóz
campaign,kampania
camping,kemping
campus,kampus
can,Móc
cancel,anulować
cancer,rak
candidate,kandydat
cannot,nie może
cap,czapka
capable,zdolny
capacity,pojemność
capital,kapitał
captain,kapitan
capture,schwytać
car,samochód
card,karta
care,pielęgnacja
career,kariera
careful,ostrożny
carefully,ostrożnie
careless,niedbały
carpet,dywan
carrot,marchew
carry,nosić
cartoon,rysunek
case,sprawa
cash,gotówka
cast,rzucać 
castle,zamek
cat,kot
catch,złapać
category,kategoria
cause,przyczyna
cd,płyta CD
ceiling,sufit
celebrate,świętować
celebration,uroczystość
celebrity,sława
cell,komórka
cent,cent
central,centralny
centre,centrum
century,wiek
ceremony,ceremonia
certain,niektórzy
certainly,z pewnością
chain,łańcuch
chair,krzesło
chairman,przewodniczący
challenge,wyzwanie
champion,mistrz
chance,szansa
change,zmiana
channel,kanał
chapter,rozdział
character,charakter
characteristic,charakterystyczny
charge,opłata
charity,organizacja pożytku publicznego
chart,wykres
chat,pogawędzić
cheap,tani
cheat,oszukiwać
check,sprawdzać
cheerful,wesoły
cheese,ser
chef,szef kuchni
chemical,chemiczny
chemistry,chemia
chest,klatka piersiowa
chicken,kurczak
chief,szef
child,dziecko
childhood,dzieciństwo
chip,żeton
chocolate,czekolada
choice,wybór
choose,wybierać
church,kościół
cigarette,papieros
cinema,kino
circle,koło
circumstance,okoliczność
cite,cytować
citizen,obywatel
city,miasto
civil,cywilny
claim,prawo
class,klasa
classic,klasyczny
classical,klasyczny
classroom,klasa
clause,klauzula
clean,czysty
clear,jasne
clearly,wyraźnie
clever,sprytny
click,trzask
client,klient
climate,klimat
climb,wspinać się
clock,zegar
close,zamknąć
closed,Zamknięte
closely,dokładnie
cloth,płótno
clothes,odzież
clothing,odzież
cloud,chmura
club,klub
clue,wskazówka
coach,trener
coal,węgiel
coast,wybrzeże
coat,płaszcz
code,kod
coffee,kawa
coin,moneta
cold,zimno
collapse,zawalić się
colleague,kolega z pracy
collect,zbierać
collection,kolekcja
college,kolegium
colour,kolor
coloured,kolorowy
column,kolumna
combination,połączenie
combine,łączyć
come,przychodzić
comedy,komedia
comfort,komfort
comfortable,wygodny
command,rozkaz
comment,komentarz
commercial,handlowy
commission,zamawiać
commit,popełniać
commitment,zobowiązanie
committee,komisja
common,wspólny
commonly,powszechnie
communicate,komunikować
communication,komunikacja
community,wspólnota
company,firma
compare,porównywać
comparison,porównanie
compete,konkurować
competition,konkurs
competitive,konkurencyjny
competitor,konkurent
complain,narzekać
complaint,skarga
complete,kompletny
completely,całkowicie
complex,złożony
complicated,skomplikowany
component,część
computer,komputer
concentrate,koncentrat
concentration,stężenie
concept,pojęcie
concern,obawa
concerned,zainteresowany
concert,koncert
conclude,zakończyć
conclusion,wniosek
condition,stan
conduct,prowadzić
conference,konferencja
confidence,zaufanie
confident,pewny siebie
confirm,potwierdzać
conflict,konflikt
confuse,pomylić
confused,zdezorientowany
confusing,mylące
connect,łączyć
connected,połączony
connection,połączenie
conscious,świadomy
consequence,konsekwencja
conservative,konserwatywny
consider,rozważać
consideration,namysł
consist,składać się
consistent,spójny
constant,stały
constantly,stale
construct,skonstruować
construction,budowa
consume,konsumować
consumer,konsument
contact,kontakt
contain,zawierać
container,pojemnik
contemporary,współczesny
contest,konkurs
context,kontekst
continent,kontynent
continue,Kontynuować
continuous,ciągły
contract,umowa
contrast,kontrast
contribute,brać w czymś udział
contribution,składka
control,kontrola
convenient,wygodny
conversation,rozmowa
convert,konwertować
convince,przekonać
convinced,przekonany
cook,kucharz
cooker,kuchenka
cooking,gotowanie
cool,Fajny
copy,kopia
core,rdzeń
corner,narożnik
corporate,zbiorowy
correct,prawidłowy
correctly,prawidłowo
cost,koszt
costume,kostium
cottage,domek
cotton,bawełna
could,mógł
council,rada
count,liczyć
country,kraj
countryside,wieś
county,hrabstwo
couple,para
courage,odwaga
course,kurs
court,sąd
cousin,kuzyn
cover,okładka
covered,pokryty
cow,krowa
crash,rozbić się
crazy,zwariowany
cream,krem
create,tworzyć
creation,tworzenie
creative,twórczy
creature,istota
credit,kredyt
crew,załoga
crime,przestępczość
criminal,przestępca
crisis,kryzys
criterion,kryterium
critic,krytyk
critical,krytyczny
criticism,krytyka
criticize,krytykować
crop,przyciąć
cross,przechodzić
crowd,tłum
crowded,zatłoczony
crucial,kluczowy
cruel,okrutny
cry,płakać
cultural,kulturalny
culture,kultura
cup,filiżanka
cupboard,szafka
cure,wyleczyć 
curly,kręcony
currency,waluta
current,aktualny
currently,obecnie
curtain,kurtyna
curve,krzywa
curved,zakrzywiony
custom,zwyczaj
customer,klient
cut,cięcie
cycle,cykl
dad,tata
daily,codziennie
damage,szkoda
dance,taniec
dancer,tancerz
dancing,taniec
danger,niebezpieczeństwo
dangerous,niebezpieczny
dark,ciemny
data,dane
date,data
daughter,córka
day,dzień
dead,martwy
deal,umowa
dear,Drogi
death,śmierć
debate,debata
debt,dług
decade,dekada
december,grudzień
decent,przyzwoity
decide,decydować
decision,decyzja
declare,ogłosić
decline,spadek
decorate,udekorować
decoration,dekoracja
decrease,zmniejszenie
deep,głęboko
deeply,głęboko
defeat,pokonać
defence,obrona
defend,bronić
define,określić
definite,określony
definitely,zdecydowanie
definition,definicja
degree,stopień
delay,opóźnienie
deliberate,celowy
deliberately,celowo
delicious,pyszne
delight,rozkosz
delighted,zachwycony
deliver,dostarczać
delivery,dostawa
demand,popyt
demonstrate,wykazać
dentist,dentysta
deny,zaprzeczyć
department,dział
departure,wyjazd
depend,zależeć
depressed,przygnębiony
depressing,przygnębiający
depth,głębokość
describe,opisać
description,opis
desert,pustynia
deserve,zasługiwać
design,projekt
designer,projektant
desire,pragnienie
desk,biurko
desperate,zdesperowany
despite,pomimo
destination,miejsce docelowe
destroy,zniszczyć
detail,szczegół
detailed,szczegółowy
detect,wykryć
detective,detektyw
determine,określić
determined,określony
develop,rozwijać
development,rozwój
device,urządzenie
diagram,diagram
dialogue,dialog
diamond,diament
diary,dziennik
dictionary,słownik
die,umierać
diet,dieta
difference,różnica
different,różny
differently,różnie
difficult,trudny
difficulty,trudność
dig,kopać
digital,cyfrowy
dinner,kolacja
direct,bezpośredni
direction,kierunek
directly,bezpośrednio
director,dyrektor
dirt,brud
dirty,brudny
disadvantage,niekorzyść
disagree,nie zgadzać się
disappear,zniknąć
disappointed,zawiedziony
disappointing,niezadowalający
disaster,katastrofa
disc,dysk
discipline,dyscyplina
discount,rabat
discover,odkryć
discovery,odkrycie
discuss,omówić
discussion,dyskusja
disease,choroba
dish,danie
dishonest,nieuczciwy
dislike,nie lubić
dismiss,odrzucać
display,wyświetlacz
distance,dystans
distribute,rozkładać
distribution,dystrybucja
district,dzielnica
divide,dzielić
division,dział
divorced,rozwiedziony
do,Do
doctor,lekarz
document,dokument
documentary,dokumentalny
dog,pies
dollar,dolar
domestic,domowy
dominate,zdominować
donate,podarować
door,drzwi
double,podwójnie
doubt,wątpliwość
down,w dół
download,pobierać
downstairs,na dole
downwards,ku dołowi
dozen,tuzin
draft,projekt
drag,ciągnąć
drama,dramat
dramatic,dramatyczny
draw,rysować
drawing,rysunek
dream,marzenie
dress,sukienka
dressed,ubrany
drink,drink
drive,prowadzić
driver,kierowca
drop,upuszczać
drug,lek
drum,bęben
drunk,pijany
dry,suchy
due,należny
during,podczas
dust,pył
duty,obowiązek
dvd,płyta DVD
each,każdy
ear,ucho
early,wczesny
earn,zarabiać
earth,ziemia
earthquake,trzęsienie ziemi
easily,łatwo
east,wschód
eastern,wschodni
easy,łatwy
eat,jeść
economic,gospodarczy
economy,gospodarka
edge,krawędź
edit,redagować
edition,wydanie
editor,redaktor
educate,kształcić
educated,wykształcony
education,edukacja
educational,edukacyjny
effect,efekt
effective,skuteczny
effectively,faktycznie
efficient,wydajny
effort,wysiłek
egg,jajko
eight,osiem
eighteen,osiemnaście
eighty,osiemdziesiąt
either,albo
elderly,osoby starsze
elect,elekt
election,wybór
electric,elektryczny
electrical,elektryczny
electricity,elektryczność
electronic,elektroniczny
element,element
elephant,słoń
eleven,jedenaście
else,w przeciwnym razie
elsewhere,gdzie indziej
email,e-mail
embarrassed,zażenowany
embarrassing,żenujący
emerge,pojawić się
emergency,nagły wypadek
emotion,emocja
emotional,emocjonalny
emphasis,podkreślenie
emphasize,podkreślić
employ,zatrudniać
employee,pracownik
employer,pracodawca
employment,zatrudnienie
empty,pusty
enable,włączać
encounter,spotkanie
encourage,przekonywać
end,koniec
ending,zakończenie
enemy,wróg
energy,energia
engage,angażować się
engaged,zaangażowany
engine,silnik
engineer,inżynier
engineering,inżynieria
enhance,zwiększyć
enjoy,Cieszyć się
enormous,ogromny
enough,wystarczająco 
enquiry,zapytanie
ensure,zapewnić
enter,Wchodzić
entertain,bawić się
entertainment,rozrywka
enthusiasm,entuzjazm
enthusiastic,entuzjastyczny
entire,cały
entirely,całkowicie
entrance,wejście
entry,wejście
environment,środowisko
environmental,środowiskowy
episode,epizod
equal,równy
equally,równie
equipment,sprzęt
error,błąd
escape,ucieczka
especially,zwłaszcza
essay,esej
essential,niezbędny
establish,tworzyć
estate,nieruchomość
estimate,oszacować
ethical,etyczny
euro,euro
evaluate,oceniać
even,nawet
evening,wieczór
event,wydarzenie
eventually,w końcu
ever,kiedykolwiek
every,każdy
everybody,wszyscy
everyday,codzienny
everyone,wszyscy
everything,wszystko
everywhere,wszędzie
evidence,dowód
evil,zło
exact,dokładny
exactly,Dokładnie
exam,egzamin
examination,badanie
examine,zbadać
example,przykład
excellent,doskonały
except,z wyjątkiem
exchange,giełda
excited,podekscytowany
excitement,podniecenie
exciting,ekscytujący
excuse,wymówka
executive,wykonawczy
exercise,ćwiczenia
exhibition,wystawa
exist,istnieć
existence,istnienie
expand,zwiększać
expect,oczekiwać
expectation,oczekiwanie
expected,oczekiwany
expedition,wyprawa
expense,koszt
expensive,drogi
experience,doświadczenie
experienced,doświadczony
experiment,eksperyment
expert,ekspert
explain,wyjaśnić
explanation,wyjaśnienie
explode,eksplodować
exploration,badanie
explore,badać
explosion,eksplozja
export,eksport
expose,ujawnić
express,wyrazić
expression,wyrażenie
extend,rozszerzyć
extent,zakres
external,zewnętrzny
extra,dodatkowy
extraordinary,nadzwyczajny
extreme,skrajny
extremely,niezwykle
eye,oko
face,twarz
facility,obiekt
fact,fakt
factor,czynnik
factory,fabryka
fail,ponieść porażkę
failure,awaria
fair,sprawiedliwy
fairly,raczej
faith,wiara
fall,jesień
FALSE,FAŁSZ
familiar,znajomy
family,rodzina
famous,słynny
fan,wentylator
fancy,wymyślny
fantastic,fantastyczny
far,daleko
farm,gospodarstwo
farmer,rolnik
farming,rolnictwo
fascinating,fascynujący
fashion,moda
fashionable,modny
fast,szybko
fasten,zapiąć
fat,tłuszcz
father,ojciec
fault,wada
favour,przychylność
favourite,ulubiony
fear,strach
feather,pióro
feature,funkcja
february,Luty
fee,opłata
feed,karmić
feedback,informacja zwrotna
feel,czuć
feeling,uczucie
fellow,kolega
female,Kobieta
fence,ogrodzenie
festival,festiwal
few,kilka
fiction,fikcja
field,pole
fifteen,piętnaście
fifth,piąty
fifty,pięćdziesiąt
fight,walka
fighting,walczący
figure,postać
file,plik
fill,wypełnić
film,film
final,finał
finally,Wreszcie
finance,finanse
financial,budżetowy
find,znajdować
finding,odkrycie
finger,palec
finish,skończyć
fire,ogień
first,Pierwszy
firstly,Po pierwsze
fish,ryba
fishing,rybacki
fitness,zdatność
five,pięć
fix,naprawić
fixed,naprawił
flag,flaga
flame,płomień
flash,błysk
flat,płaski
flexible,elastyczny
flight,lot
float,platforma
flood,powódź
floor,podłoga
flour,mąka
flow,przepływ
flower,kwiat
flu,grypa
fly,latać
flying,latający
focus,centrum
fold,zginać
folding,składanie
folk,ludowy
follow,podążać
following,następny
food,żywność
foot,stopa
football,piłkarski
for,Do
force,siła
foreign,zagraniczny
forest,las
forever,na zawsze
forget,zapominać
forgive,przebaczyć
fork,widelec
form,formularz
formal,formalny
former,dawny
fortunately,Na szczęście
fortune,fortuna
forty,czterdzieści
forward,do przodu
found,znaleziony
four,cztery
fourteen,czternaście
fourth,czwarty
frame,rama
free,bezpłatny
freedom,wolność
freeze,zamrażać
frequency,częstotliwość
frequently,często
fresh,świeży
friday,piątek
fridge,lodówka
friend,przyjaciel
friendly,przyjazny
friendship,przyjaźń
frighten,straszyć
frightened,przestraszony
frightening,przerażający
frog,żaba
from,z
front,przód
frozen,mrożony
fruit,owoc
fry,smażyć
fuel,paliwo
full,pełny
fully,w pełni
fun,zabawa
function,funkcjonować
fund,fundusz
fundamental,podstawowy
funding,Finansowanie
funny,śmieszny
fur,futro
furniture,meble
further,dalej
furthermore,ponadto
future,przyszły
gain,osiągać
gallery,galeria
game,gra
gang,gang
gap,luka
